index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	166780757
3	Chr1	166780758	175876898
4	Chr1	175876899	239850281
5	Chr1	239850282	248946421
6	Chr2	10000	92188145
CEN2	Chr2	92188146	94090557
7	Chr2	94090558	242183528
8	Chr3	10000	66102906
9	Chr3	66102907	72899090
10	Chr3	72899091	90772458
CEN3	Chr3	90772459	93655574
11	Chr3	93655575	198235558
12	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
13	Chr4	51743952	190204554
14	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
15	Chr5	50059808	77149479
16	Chr5	77149480	84197912
17	Chr5	84197913	181478258
18	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
19	Chr6	59829935	117371312
20	Chr6	117371313	124644805
21	Chr6	124644806	170745978
22	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
23	Chr7	60828235	159335972
24	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
25	Chr8	45877266	103645975
26	Chr8	103645976	111174290
27	Chr8	111174291	145078635
28	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
29	Chr9	45518559	138334716
30	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
31	Chr10	41593522	73293690
32	Chr10	73293691	78308814
33	Chr10	78308815	120821736
34	Chr10	120821737	130423120
35	Chr10	130423121	133787421
36	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
37	Chr11	54425075	135076621
38	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
39	Chr12	37185253	133265308
40	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
41	Chr13	18051249	114354327
42	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
43	Chr14	18173524	106883717
44	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
45	Chr15	19725255	101981188
46	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
47	Chr16	38280683	90228344
48	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
49	Chr17	26885981	30780078
50	Chr17	30780079	31936302
51	Chr17	31936303	83247440
52	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
53	Chr18	20861207	80263284
54	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
55	Chr19	27190875	58607615
56	Chr20	60000	4875880
57	Chr20	4875881	12035056
58	Chr20	12035057	26436232
CEN20	Chr20	26436233	30038348
59	Chr20	30038349	64334166
60	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
61	Chr21	12915809	46699982
62	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
63	Chr22	15054319	50808467
64	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
65	ChrX	62412543	156030894
---
chromosome	KT	telo1_len	telo2_len
Chr1a	CEN1+,2+,3+,4+,5+,5-	10000	10000
Chr1b	1+,CEN1+,2+,3+,4+,5+	10000	10000
Chr2a	6+,CEN2+,7+	10000	10000
Chr2b	6+,CEN2+,7+	10000	10000
Chr3a	8+,9-,10+,CEN3+,11+	10000	60000
Chr3b	8+,9+,10+,CEN3+,11+	10000	60000
Chr4a	12+,CEN4+,13+	10000	10000
Chr4b	12+,CEN4+	10000	10000
Chr5a	14+,CEN5+,15+,16+,16+,17+	10000	60000
Chr5b	14+,CEN5+,15+,16+,17+	10000	60000
Chr6a	18+,CEN6+,19+,21+	60000	60000
Chr6b	18+,CEN6+,19+,20+,21+	60000	60000
Chr7a	22+,CEN7+,23+	10000	10000
Chr7b	22+,CEN7+,23+	10000	10000
Chr8a	24+,CEN8+,25+,26+,27+	60000	60000
Chr8b	24+,CEN8+,25+,26-,27+	60000	60000
Chr9a	28+,CEN9+,29+	10000	60000
Chr9b	28+,CEN9+,29+	10000	60000
Chr10a	30+,CEN10+,31+,32+,33+,34+,35+	10000	10000
Chr10b	30+,CEN10+,31+,34+,32+,33+,35+	10000	10000
Chr11a	36+,CEN11+,37+	60000	10000
Chr11b	36+,CEN11+,37+	60000	10000
Chr12a	38+,CEN12+,39+	10000	10000
Chr12b	38+,CEN12+,39+	10000	10000
Chr13a	40+,CEN13+,41+	16000000	10000
Chr13b	40+,CEN13+,41+	16000000	10000
Chr14a	42+,CEN14+,43+	16000000	160000
Chr14b	42+,CEN14+,43+	16000000	160000
Chr15a	44+,CEN15+,45+	17000000	10000
Chr15b	44+,CEN15+,45+	17000000	10000
Chr16a	46+,CEN16+,47+	10000	110000
Chr16b	46+,CEN16+,47+	10000	110000
Chr17a	48+,CEN17+,49+,51+	60000	10000
Chr17b	48+,CEN17+	60000	10000
Chr18a	52+,CEN18+,53+	10000	110000
Chr18b	52+,CEN18+,53+	10000	110000
Chr19a	54+,CEN19+,55+	60000	10000
Chr19b	54+,CEN19+,55+	60000	10000
Chr20a	56+,57+,57+,58+,CEN20+,59+	60000	110000
Chr20b	56+,57+,58+,CEN20+,59+	60000	110000
Chr21a	60+,CEN21+,61+	5010000	10000
Chr21b	60+,CEN21+,61+	5010000	10000
Chr22a	62+,CEN22+,63+	10510000	10000
Chr22b	62+,CEN22+,63+	10510000	10000
ChrXa	64+,CENX+,65+	10000	10000
ChrXb	64+,CENX+,65+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 2
	sex chromosomes: ['ChrX', 'ChrX']
block 1: random events
	deletion on segments [50+], from Chr17a to Chr17a	(del,49.1,51.1)
	tandem duplication on segments [16+], from Chr5a to Chr5a	(ins,16.2)
	right duplication inversion on segments [5+], from Chr1a to Chr1a	(ins,5.2)
	arm deletion on segments [49+,50+,51+], from Chr17b to Chr17b	(del,CEN,T2)
	tandem duplication on segments [57+], from Chr20a to Chr20a	(ins,57.2)
	arm deletion on segments [1+], from Chr1a to Chr1a	(del,T1,CEN)
	inversion on segments [9+], from Chr3a to Chr3a	(inv,9.1)
	balanced reciprocal translocation on segments [32+], from Chr10b to Chr10b	-
	balanced reciprocal translocation on segments [34+], from Chr10b to Chr10b	(del,33.1,35.1)(ins,34.1)
	inversion on segments [26+], from Chr8b to Chr8b	(inv,26.1)
	arm deletion on segments [13+], from Chr4b to Chr4b	(del,CEN,T2)
	deletion on segments [20+], from Chr6a to Chr6a	(del,19.1,21.1)
