Chr1	249250622	10000	121535434	124535434	249240621
Chr2	243199374	10000	92326171	95326171	243189373
Chr3	198022431	10000	90504854	93504854	198012430
Chr4	191154277	10000	49660117	52660117	191144276
Chr5	180915261	10000	46405641	49405641	180905260
Chr6	171115068	10000	58830166	61830166	171105067
Chr7	159138664	10000	58054331	61054331	159128663
Chr8	146364023	10000	43838887	46838887	146354022
Chr9	141213432	10000	47367679	50367679	141203431
Chr10	135534748	10000	39254935	42254935	135524747
Chr11	135006517	10000	51644205	54644205	134996516
Chr12	133851896	10000	34856694	37856694	133841895
Chr13	115169879	16000000	16000000	19000000	115159878
Chr14	107349541	16000000	16000000	19000000	107339540
Chr15	102531393	17000000	17000000	20000000	102521392
Chr16	90354754	10000	35335801	38335801	90344753
Chr17	81195211	10000	22263006	25263006	81185210
Chr18	78077249	10000	15460898	18460898	78067248
Chr19	59128984	10000	24681782	27681782	59118983
Chr20	63025521	10000	26369569	29369569	63015520
Chr21	48129896	5211193	11288129	14288129	48119895
Chr22	51304567	13000000	13000000	16000000	51294566
ChrX	155270561	10000	58632012	61632012	155260560
ChrY	59373567	10000	10104553	13104553	59363566
