Chr1	248387328	0	121796048	126300486	248387327
Chr2	242696752	0	92333543	94673022	242696751
Chr3	201105948	0	91738002	96415025	201105947
Chr4	193574945	0	49705154	55199794	193574944
Chr5	182045439	0	47039134	49596624	182045438
Chr6	172126628	0	58286706	61058389	172126627
Chr7	160567428	0	60414372	63714498	160567427
Chr8	146259331	0	44215832	46325079	146259330
Chr9	150617247	0	44951775	47582594	150617246
Chr10	134758134	0	39633793	41664588	134758133
Chr11	135127769	0	51035789	54450837	135127768
Chr12	133324548	0	34620838	37202489	133324547
Chr13	113566686	15547593	15547593	17498290	113566685
Chr14	101161492	10092112	10092112	12708410	101161491
Chr15	99753195	16678794	16678794	17694465	99753194
Chr16	96330374	0	35848286	37829520	96330373
Chr17	84276897	0	23892419	27486938	84276896
Chr18	80542538	0	15965699	20933549	80542537
Chr19	61707364	0	25817676	29768170	61707363
Chr20	66210255	0	26925852	29099654	66210254
Chr21	45090682	10962853	10962853	11306204	45090681
Chr22	51324926	12788180	12788180	15711064	51324925
Chrx	154259566	0	57820107	60927024	154259565
Chry	62460029	0	10565750	10883084	62460028
