index	origin	start	end
1	Chr1	10000	135444
2	Chr1	135445	122026459
CEN1	Chr1	122026460	125184587
3	Chr1	125184588	248946421
4	Chr2	10000	92188145
CEN2	Chr2	92188146	94090557
5	Chr2	94090558	242183528
6	Chr3	10000	71091810
7	Chr3	71091811	71210858
8	Chr3	71210859	90772458
CEN3	Chr3	90772459	93655574
9	Chr3	93655575	124118725
10	Chr3	124118726	124269597
11	Chr3	124269598	198235558
12	Chr4	10000	160019
13	Chr4	160020	49708100
CEN4	Chr4	49708101	51743951
14	Chr4	51743952	190007258
15	Chr4	190007259	190204554
16	Chr5	10000	150473
17	Chr5	150474	46485900
CEN5	Chr5	46485901	50059807
18	Chr5	50059808	80533272
19	Chr5	80533273	80712535
20	Chr5	80712536	146905837
21	Chr5	146905838	147090442
22	Chr5	147090443	181478258
23	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
24	Chr6	59829935	170745978
25	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
26	Chr7	60828235	159335972
27	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
28	Chr8	45877266	61464922
29	Chr8	61464923	61568654
30	Chr8	61568655	145078635
31	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
32	Chr9	45518559	138189251
33	Chr9	138189252	138334716
34	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
35	Chr10	41593522	133787421
36	Chr11	60000	169975
37	Chr11	169976	50393273
38	Chr11	50393274	50496641
39	Chr11	50496642	51078348
CEN11	Chr11	51078349	54425074
40	Chr11	54425075	126735861
41	Chr11	126735862	126842130
42	Chr11	126842131	129653659
43	Chr11	129653660	129811954
44	Chr11	129811955	135076621
45	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
46	Chr12	37185253	133265308
47	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
48	Chr13	18051249	38693158
49	Chr13	38693159	38874636
50	Chr13	38874637	114211612
51	Chr13	114211613	114354327
52	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
53	Chr14	18173524	106883717
54	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
55	Chr15	19725255	52532170
56	Chr15	52532171	52658724
57	Chr15	52658725	101981188
58	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
59	Chr16	38280683	90228344
60	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
61	Chr17	26885981	83247440
62	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
63	Chr18	20861207	80156275
64	Chr18	80156276	80263284
65	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
66	Chr19	27190875	58607615
67	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
68	Chr20	30038349	64334166
69	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
70	Chr21	12915809	46699982
71	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
72	Chr22	15054319	50808467
73	ChrX	10000	45913258
74	ChrX	45913259	46062474
75	ChrX	46062475	58605579
CENX	ChrX	58605580	62412542
76	ChrX	62412543	90833133
77	ChrX	90833134	91014031
78	ChrX	91014032	101365148
79	ChrX	101365149	101514076
80	ChrX	101514077	103298711
81	ChrX	103298712	103497746
82	ChrX	103497747	143670396
83	ChrX	143670397	143808007
84	ChrX	143808008	156030894
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,1+,2+,CEN1+,3+	10000	10000
Chr2a	4+,CEN2+,5+	10000	10000
Chr2b	deleted	0	0
Chr3a	6+,10+,8+,CEN3+,9+,7+,11+	10000	60000
Chr4a	12+,12+,13+,CEN4+,14+,15+,15+	10000	10000
Chr5a	16-,17+,CEN5+,18+,56+,20+,21+,21+,22+	10000	60000
Chr6a	23+,CEN6+,24+,24+	60000	60000
Chr7a	25+,CEN7+,26+,26+	10000	10000
Chr8a	deleted	0	0
Chr9a	31+,CEN9+,32+,33-	10000	60000
Chr10a	34+,CEN10+,35+	10000	10000
Chr10b	34+,CEN10+,35+	10000	10000
Chr11a	37+,43+,39+,CEN11+,40+,41+,41+,42+,38+,44+,40+,41+,42+,38+,44+	60000	10000
Chr12a	45+,CEN12+,46+,46+	10000	10000
Chr13a	47+,CEN13+,48+,49+,50+,51+,48+,49-,50+,51-	16000000	10000
Chr14a	52+,CEN14+,53+	16000000	160000
Chr15a	54+,CEN15+,55+,19+,57+	17000000	10000
Chr16a	58+,CEN16+,59+	10000	110000
Chr17a	60+,CEN17+,61+	60000	10000
Chr18a	62+,CEN18+,63+,64+,64+	10000	110000
Chr19a	65+,CEN19+,66+,66+	60000	10000
Chr20a	67+,CEN20+,68+	60000	110000
Chr21a	69+,CEN21+,70+,70+	5010000	10000
Chr22a	71+,CEN22+,72+	10510000	10000
ChrXa	73+,74+,75+,CENX+,76+,77+,78+,83+,80+,79+,82+,83+,84+	10000	10000
ChrXb	73+,75+,CENX+,76+,81+,78+,79+,80+,81+,77+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 1
	sex chromosomes: ['ChrX', 'ChrX']
block 1: demo_random1
	inversion on segments [29+], from Chr8a to Chr8a
	arm tandem duplication on segments [48+,49+,50+,51+], from Chr13a to Chr13a
	chromosomal deletion on segments [27+,CEN8+,28+,29+,30+], from Chr8a to Chr8a
	deletion on segments [36+], from Chr11a to Chr11a
	reciprocal translocation on segments [43+], from Chr11a to Chr11a
	reciprocal translocation on segments [38+], from Chr11a to Chr11a
	arm tandem duplication on segments [46+], from Chr12a to Chr12a
	tandem duplication on segments [1+], from Chr1a to Chr1a
	reciprocal translocation on segments [56+], from Chr15a to Chr5a
	reciprocal translocation on segments [19+], from Chr5a to Chr15a
	tandem duplication on segments [15+], from Chr4a to Chr4a
	tandem duplication on segments [12+], from Chr4a to Chr4a
	reciprocal translocation on segments [77+], from ChrXb to ChrXb
	reciprocal translocation on segments [81+], from ChrXb to ChrXb
	arm tandem duplication on segments [40+,41+,42+,38+,44+], from Chr11a to Chr11a
	arm tandem duplication on segments [26+], from Chr7a to Chr7a
	reciprocal translocation on segments [83+], from ChrXa to ChrXa
	reciprocal translocation on segments [79+], from ChrXa to ChrXa
	chromosomal duplication on segments [34+,CEN10+,35+], from Chr10a to Chr10b
	tandem duplication on segments [41+], from Chr11a to Chr11a
	inversion on segments [16+], from Chr5a to Chr5a
	inversion on segments [51+], from Chr13a to Chr13a
	reciprocal translocation on segments [10+], from Chr3a to Chr3a
	reciprocal translocation on segments [7+], from Chr3a to Chr3a
	inversion on segments [33+], from Chr9a to Chr9a
	tandem duplication on segments [64+], from Chr18a to Chr18a
	arm tandem duplication on segments [24+], from Chr6a to Chr6a
	chromosomal duplication on segments [4+,CEN2+,5+], from Chr2a to Chr2b
	arm tandem duplication on segments [5+], from Chr2b to Chr2b
	inversion on segments [49+], from Chr13a to Chr13a
	arm tandem duplication on segments [66+], from Chr19a to Chr19a
	deletion on segments [74+], from ChrXb to ChrXb
	tandem duplication on segments [21+], from Chr5a to Chr5a
	arm tandem duplication on segments [70+], from Chr21a to Chr21a
	chromosomal deletion on segments [4+,CEN2+,5+,5+], from Chr2b to Chr2b
