index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	172285882
3	Chr1	172285883	172404829
4	Chr1	172404830	248946421
5	Chr2	10000	92188145
CEN2	Chr2	92188146	94090557
6	Chr2	94090558	144380204
7	Chr2	144380205	144567629
8	Chr2	144567630	242183528
9	Chr3	10000	90772458
CEN3	Chr3	90772459	93655574
10	Chr3	93655575	198235558
11	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
12	Chr4	51743952	73399950
13	Chr4	73399951	73540011
14	Chr4	73540012	190204554
15	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
16	Chr5	50059808	57072720
17	Chr5	57072721	57208135
18	Chr5	57208136	106853107
19	Chr5	106853108	107017260
20	Chr5	107017261	166938387
21	Chr5	166938388	167059654
22	Chr5	167059655	181283208
23	Chr5	181283209	181478258
24	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
25	Chr6	59829935	103986259
26	Chr6	103986260	104113966
27	Chr6	104113967	105156530
28	Chr6	105156531	105338825
29	Chr6	105338826	170745978
30	Chr7	10000	29290351
31	Chr7	29290352	29447327
32	Chr7	29447328	48374157
33	Chr7	48374158	48539911
34	Chr7	48539912	58169653
CEN7	Chr7	58169654	60828234
35	Chr7	60828235	159213643
36	Chr7	159213644	159335972
37	Chr8	60000	4132910
38	Chr8	4132911	4331369
39	Chr8	4331370	44033744
CEN8	Chr8	44033745	45877265
40	Chr8	45877266	145078635
41	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
42	Chr9	45518559	90261819
43	Chr9	90261820	90430164
44	Chr9	90430165	138177240
45	Chr9	138177241	138334716
46	Chr10	10000	34444054
47	Chr10	34444055	34562659
48	Chr10	34562660	39686682
CEN10	Chr10	39686683	41593521
49	Chr10	41593522	133787421
50	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
51	Chr11	54425075	135076621
52	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
53	Chr12	37185253	133265308
54	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
55	Chr13	18051249	114354327
56	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
57	Chr14	18173524	106883717
58	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
59	Chr15	19725255	101981188
60	Chr16	10000	562138
61	Chr16	562139	678700
62	Chr16	678701	36311158
CEN16	Chr16	36311159	38280682
63	Chr16	38280683	90228344
64	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
65	Chr17	26885981	83247440
66	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
67	Chr18	20861207	80263284
68	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
69	Chr19	27190875	58607615
70	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
71	Chr20	30038349	64334166
72	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
73	Chr21	12915809	46699982
74	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
75	Chr22	15054319	50808467
76	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
77	ChrX	62412543	73246879
78	ChrX	73246880	73426663
79	ChrX	73426664	75958521
80	ChrX	75958522	76070808
81	ChrX	76070809	108860961
82	ChrX	108860962	108985272
83	ChrX	108985273	121286161
84	ChrX	121286162	121413794
85	ChrX	121413795	154909285
86	ChrX	154909286	155047707
87	ChrX	155047708	156030894
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,1+,CEN1+,2+,3-,4+	10000	10000
Chr1b	1+,1+,CEN1+,2+,3-,4+	10000	10000
Chr2a	5+,CEN2+,6+,21+,8+	10000	10000
Chr3a	deleted	0	0
Chr4a	11+,CEN4+,12+,43+,14+	10000	10000
Chr5a	15+,CEN5+,16+,17+,17+,18+,19+,19+,20+,7+,22+,23-	10000	60000
Chr5b	15+,CEN5+,16+,17+,17+,18+,19+,19+,20+,21+,22+,23+	10000	60000
Chr6a	24+,CEN6+,25+,26+,27+,28+,28+,25+,26+,27+,28+,26+	60000	60000
Chr7a	30+,31+,33+,33+,34+,CEN7+,35+	10000	10000
Chr8a	37+,38-,39+,CEN8+,40+,40+	60000	60000
Chr9a	41+,CEN9+,42+,43+,44+,45+	10000	60000
Chr9b	41+,CEN9+,42+,13+,44+,45+,42+,43+,44+,45+	10000	60000
Chr9c	41+,CEN9+,42+,43+,44+,45+,45+	10000	60000
Chr10a	46+,47+,47+,48+,CEN10+,49+	10000	10000
Chr11a	50+,CEN11+,51+	60000	10000
Chr12a	52+,CEN12+,53+	10000	10000
Chr13a	54+,CEN13+,55+	16000000	10000
Chr14a	56+,CEN14+,57+,57+	16000000	160000
Chr15a	58+,CEN15+,59+	17000000	10000
Chr16a	60+,61-,62+,CEN16+,63+	10000	110000
Chr17a	64+,CEN17+,65+	60000	10000
Chr18a	66+,CEN18+,67+,67+	10000	110000
Chr19a	68+,CEN19+,69+	60000	10000
Chr20a	70+,CEN20+,71+	60000	110000
Chr20b	70+,CEN20+,71+	60000	110000
Chr21a	72+,CEN21+,73+	5010000	10000
Chr22a	74+,CEN22+,75+	10510000	10000
ChrXa	76+,76+,CENX+,77+,78-,78+,79+,80+,81+,82+,83+,84+,85+,80+,87+,77+,86+,79+,80+,81+,82+,83+,84+,85+,86+,87+	10000	10000
ChrXb	76+,CENX+,77+,78+,79+,80+,81+,82+,84+,84+,85+,86+,87+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 1
	sex chromosomes: ['ChrX', 'ChrX']
block 1: demo_random1
	inversion on segments [38+], from Chr8a to Chr8a
	arm tandem duplication on segments [25+,26+,27+,28+,29+], from Chr6a to Chr6a
	chromosomal duplication on segments [41+,CEN9+,42+,43+,44+,45+], from Chr9a to Chr9b
	arm tandem duplication on segments [77+,78+,79+,80+,81+,82+,83+,84+,85+,86+,87+], from ChrXa to ChrXa
	reciprocal translocation on segments [84+], from ChrXb to ChrXb
	reciprocal translocation on segments [82+], from ChrXb to ChrXb
	deletion on segments [36+], from Chr7a to Chr7a
	arm tandem duplication on segments [40+], from Chr8a to Chr8a
	tandem duplication on segments [47+], from Chr10a to Chr10a
	tandem duplication on segments [17+], from Chr5a to Chr5a
	arm tandem duplication on segments [42+,43+,44+,45+], from Chr9b to Chr9b
	tandem duplication on segments [19+], from Chr5a to Chr5a
	reciprocal translocation on segments [13+], from Chr4a to Chr9b
	reciprocal translocation on segments [43+], from Chr9b to Chr4a
	chromosomal duplication on segments [15+,CEN5+,16+,17+,17+,18+,19+,19+,20+,21+,22+,23+], from Chr5a to Chr5b
	arm tandem duplication on segments [67+], from Chr18a to Chr18a
	reciprocal translocation on segments [21+], from Chr5a to Chr2a
	reciprocal translocation on segments [7+], from Chr2a to Chr5a
	chromosomal duplication on segments [41+,CEN9+,42+,43+,44+,45+], from Chr9a to Chr9c
	arm tandem duplication on segments [1+], from Chr1a to Chr1a
	tandem duplication on segments [45+], from Chr9c to Chr9c
	reciprocal translocation on segments [33+], from Chr7a to Chr7a
	reciprocal translocation on segments [31+], from Chr7a to Chr7a
	arm tandem duplication on segments [57+], from Chr14a to Chr14a
	chromosomal deletion on segments [9+,CEN3+,10+], from Chr3a to Chr3a
	arm tandem duplication on segments [76+], from ChrXa to ChrXa
	inversion on segments [23+], from Chr5a to Chr5a
	left duplication inversion on segments [78+], from ChrXa to ChrXa
	inversion on segments [61+], from Chr16a to Chr16a
	reciprocal translocation on segments [80+], from ChrXa to ChrXa
	reciprocal translocation on segments [86+], from ChrXa to ChrXa
	reciprocal translocation on segments [26+], from Chr6a to Chr6a
	reciprocal translocation on segments [28+], from Chr6a to Chr6a
	inversion on segments [3+], from Chr1a to Chr1a
	chromosomal duplication on segments [70+,CEN20+,71+], from Chr20a to Chr20b
	chromosomal duplication on segments [1+,1+,CEN1+,2+,3+,4+], from Chr1a to Chr1b
