index	origin	start	end
1	Chr1	10000	33786537
2	Chr1	33786538	33968303
3	Chr1	33968304	122026459
CEN1	Chr1	122026460	125184587
4	Chr1	125184588	149581496
5	Chr1	149581497	149717980
6	Chr1	149717981	248946421
7	Chr2	10000	92188145
CEN2	Chr2	92188146	94090557
8	Chr2	94090558	106764016
9	Chr2	106764017	106955355
10	Chr2	106955356	113294697
11	Chr2	113294698	113404602
12	Chr2	113404603	196841172
13	Chr2	196841173	197000001
14	Chr2	197000002	242183528
15	Chr3	10000	90772458
CEN3	Chr3	90772459	93655574
16	Chr3	93655575	155229737
17	Chr3	155229738	155340565
18	Chr3	155340566	177972594
19	Chr3	177972595	178153890
20	Chr3	178153891	198235558
21	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
22	Chr4	51743952	190204554
23	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
24	Chr5	50059808	175918497
25	Chr5	175918498	176020183
26	Chr5	176020184	181478258
27	Chr6	60000	36568765
28	Chr6	36568766	36725875
29	Chr6	36725876	58136112
30	Chr6	58136113	58307812
31	Chr6	58307813	58553888
CEN6	Chr6	58553889	59829934
32	Chr6	59829935	121552137
33	Chr6	121552138	121669446
34	Chr6	121669447	170365663
35	Chr6	170365664	170508705
36	Chr6	170508706	170558385
37	Chr6	170558386	170745978
38	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
39	Chr7	60828235	159335972
40	Chr8	60000	29064281
41	Chr8	29064282	29202343
42	Chr8	29202344	40414199
43	Chr8	40414200	40534054
44	Chr8	40534055	44033744
CEN8	Chr8	44033745	45877265
45	Chr8	45877266	52698156
46	Chr8	52698157	52812329
47	Chr8	52812330	78608214
48	Chr8	78608215	78752718
49	Chr8	78752719	144953961
50	Chr8	144953962	145078635
51	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
52	Chr9	45518559	138185647
53	Chr9	138185648	138334716
54	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
55	Chr10	41593522	133630106
56	Chr10	133630107	133787421
57	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
58	Chr11	54425075	105334600
59	Chr11	105334601	105490517
60	Chr11	105490518	130660714
61	Chr11	130660715	130769239
62	Chr11	130769240	134909856
63	Chr11	134909857	135076621
64	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
65	Chr12	37185253	133265308
66	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
67	Chr13	18051249	101692338
68	Chr13	101692339	101855402
69	Chr13	101855403	114354327
70	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
71	Chr14	18173524	103001572
72	Chr14	103001573	103135449
73	Chr14	103135450	106700777
74	Chr14	106700778	106883717
75	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
76	Chr15	19725255	101981188
77	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
