index	origin	start	end
1	Chr1	10000	124703
2	Chr1	124704	143913
3	Chr1	143914	81880296
4	Chr1	81880297	82000332
5	Chr1	82000333	93568143
6	Chr1	93568144	93673972
7	Chr1	93673973	122026459
CEN1	Chr1	122026460	125184587
8	Chr1	125184588	248946421
9	Chr2	10000	92188145
CEN2	Chr2	92188146	94090557
10	Chr2	94090558	217455060
11	Chr2	217455061	217565757
12	Chr2	217565758	242030112
13	Chr2	242030113	242183528
14	Chr3	10000	7673571
15	Chr3	7673572	7811767
16	Chr3	7811768	90772458
CEN3	Chr3	90772459	93655574
17	Chr3	93655575	114415454
18	Chr3	114415455	114555192
19	Chr3	114555193	159766370
20	Chr3	159766371	159933035
21	Chr3	159933036	198126060
22	Chr3	198126061	198235558
23	Chr4	10000	8988213
24	Chr4	8988214	9171763
25	Chr4	9171764	49708100
CEN4	Chr4	49708101	51743951
26	Chr4	51743952	190204554
27	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
28	Chr5	50059808	67295798
29	Chr5	67295799	67431569
30	Chr5	67431570	97642488
31	Chr5	97642489	97751777
32	Chr5	97751778	123856869
33	Chr5	123856870	123985304
34	Chr5	123985305	159791969
35	Chr5	159791970	159943141
36	Chr5	159943142	181330699
37	Chr5	181330700	181478258
38	Chr6	60000	1168055
39	Chr6	1168056	1270749
40	Chr6	1270750	58553888
CEN6	Chr6	58553889	59829934
41	Chr6	59829935	125928157
42	Chr6	125928158	126056860
43	Chr6	126056861	170745978
44	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
45	Chr7	60828235	159335972
46	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
47	Chr8	45877266	144892080
48	Chr8	144892081	145078635
49	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
50	Chr9	45518559	138334716
51	Chr10	10000	15724855
52	Chr10	15724856	15843342
53	Chr10	15843343	39686682
CEN10	Chr10	39686683	41593521
54	Chr10	41593522	133787421
55	Chr11	60000	36347142
56	Chr11	36347143	36466707
57	Chr11	36466708	51078348
CEN11	Chr11	51078349	54425074
58	Chr11	54425075	135076621
59	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
60	Chr12	37185253	58640728
61	Chr12	58640729	58798002
62	Chr12	58798003	96371910
63	Chr12	96371911	96504818
64	Chr12	96504819	133265308
65	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
66	Chr13	18051249	114354327
67	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
68	Chr14	18173524	106883717
69	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
70	Chr15	19725255	40166307
71	Chr15	40166308	40353629
72	Chr15	40353630	101981188
73	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
74	Chr16	38280683	90228344
75	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
76	Chr17	26885981	83247440
77	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
78	Chr18	20861207	80263284
79	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
80	Chr19	27190875	58607615
81	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
82	Chr20	30038349	64334166
83	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
84	Chr21	12915809	46699982
85	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
86	Chr22	15054319	50808467
87	ChrX	10000	58605579
